rank,key,canonical,n_papers,papers,sample_reference
1,dietvorst_2015,Dietvorst (2015),18,berger_watch_2021; bigman_people_2018; burton_systematic_2020; chevrier_algorithm_2024; dargnies_aversion_2026; dietvorst_overcoming_2018; feier_hiding_2022; hueholt_trusting_2026; ivanova_stenzel_delegating_2025; ivanova_stenzel_measuring_2024; kormylo_till_2025; litterscheidt_financial_2020; logg_algorithm_2019; maasland_blame_2022; mahmud_what_2022; niszczota_robo-investors_2020; tontrup_strategic_2025; weitzner_reputational_2024,"Dietvorst BJ, Simmons JP, Massey C (2015) Algorithm aversion: people erroneously avoid algorithms after seeing them err. J Exp Psychol Gen 144(1):114�126. https://doi.org/10.1037/ xge0000033 1523534"
2,logg_2019,Logg (2019),13,berger_watch_2021; bogert_humans_2021; burton_systematic_2020; castelo_task-dependent_2019; chevrier_algorithm_2024; ivanova_stenzel_delegating_2025; ivanova_stenzel_measuring_2024; killoran_learn_2026; kormylo_till_2025; newman_eliminating_2020; niszczota_robo-investors_2020; sharan_dont_2020; tontrup_strategic_2025,"Logg JM, Minson JA, Moore DA (2019) Algorithm appreciation:"
3,hamman_2010,Hamman (2010),11,argenton_potters_yang_2023; bartling_fischbacher_schudy_2015; bartling_shifting_2012; chevrier_algorithm_2024; coffman_intermediation_2011; erat_avoiding_2013; hill_does_2015; hueholt_trusting_2026; maasland_blame_2022; oexl_shifting_2013; tontrup_strategic_2025,"Hamman, J.R., Loewenstein, G., Weber, R.A., 2010. Self-interest through delegation: An additional rationale for the principal-agent relationship. Amer. Econ."
4,bartling_2012,Bartling (2012),10,argenton_potters_yang_2023; bartling_fischbacher_schudy_2015; chevrier_algorithm_2024; hill_does_2015; hueholt_trusting_2026; kirchkamp_sharing_2019; maasland_blame_2022; oexl_shifting_2013; steffel_passing_2016; tontrup_strategic_2025,"Bartling, B., Fischbacher, U., 2012. Shifting the blame: On delegation and responsibility. Rev. Econom. Stud. 79 (1), 67�87."
5,castelo_2019,Castelo (2019),10,berger_watch_2021; bogert_humans_2021; chevrier_algorithm_2024; dargnies_aversion_2026; hueholt_trusting_2026; jauernig_people_2022; kormylo_till_2025; maasland_blame_2022; mahmud_what_2022; niszczota_robo-investors_2020,"Castelo N, Bos MW, Lehmann DR (2019) Task-dependent algorithm aversion. J Mark Res 56(5):809�825. https://doi.org/10.1177/ 0022243719851788 ucx047"
6,dietvorst_2018,Dietvorst (2018),10,berger_watch_2021; dargnies_aversion_2026; ivanova_stenzel_delegating_2025; ivanova_stenzel_measuring_2024; jolly_not_2025; kormylo_till_2025; maasland_blame_2022; mahmud_what_2022; newman_eliminating_2020; weitzner_reputational_2024,"Dietvorst BJ, Simmons JP, Massey C (2018) Overcoming algorithm aversion: people will use imperfect algorithms if they can (even slightly) modify them. Manag Sci 64(3):1155�1170. https://doi. org/10.1287/mnsc.2016.2643"
7,fischbacher_2007,Fischbacher (2007),10,bartling_fischbacher_schudy_2015; bartling_shifting_2012; coffman_intermediation_2011; feier_hiding_2022; gogoll_rage_2018; hamman_self-interest_2010; ivanova_stenzel_measuring_2024; jauernig_people_2022; kirchkamp_sharing_2019; oexl_shifting_2013,"Fischbacher, U., 2007. z-Tree: Zurich toolbox for ready-made economic experiments. Exp. Econ. 10, 171�178. Franzese Jr., R.J., 2002. Macroeconomic Policies of Developed Democracies. Cambridge University Press."
8,longoni_2019,Longoni (2019),10,berger_watch_2021; bonnefon_the_2024; castelo_task-dependent_2019; hueholt_trusting_2026; ivanova_stenzel_delegating_2025; jauernig_people_2022; kormylo_till_2025; maasland_blame_2022; niszczota_robo-investors_2020; weitzner_reputational_2024,"Longoni C, Bonezzi A, Morewedge CK (2019) Resistance to medical"
9,meehl_1954,Meehl (1954),10,berger_watch_2021; burton_systematic_2020; castelo_task-dependent_2019; chevrier_algorithm_2024; dietvorst_algorithm_2015; dietvorst_people_2020; logg_algorithm_2019; maasland_blame_2022; newman_eliminating_2020; pezzo_pezzo_physician_2006,"Meehl PE (1954) Clinical versus statistical prediction: A theoretical analysis and a review of the evidence. University of Minnesota Press, Minneapolis. https://doi.org/10.1037/11281-000"
10,coffman_2011,Coffman (2011),9,argenton_potters_yang_2023; bartling_fischbacher_schudy_2015; bartling_shifting_2012; chevrier_algorithm_2024; coffman_intermediation_2011; hill_does_2015; hueholt_trusting_2026; oexl_shifting_2013; tontrup_strategic_2025,"Coffman, L.C., 2011. Intermediation reduces punishment (and reward). Am. Econ. J. Microecon. 3 (4), 77�106."
11,burton_2020,Burton (2020),8,berger_watch_2021; chevrier_algorithm_2024; hueholt_trusting_2026; ivanova_stenzel_delegating_2025; kormylo_till_2025; maasland_blame_2022; mahmud_what_2022; weitzner_reputational_2024,"Burton JW, Stein M-K, Jensen TB (2020) A systematic review of algorithm aversion in augmented decision making. J Behav Decis Mak 33(2):220�239. https://doi.org/10.1002/bdm.2155 e-services. Omega 32(6):407�424. https://doi.org/10.1016/j."
