paper,key,canonical,raw_reference
argenton_potters_yang_2023,abbink_2009,Abbink (2009),"Abbink, K., Sadrieh, A., 2009. The pleasure of being nasty. Econom. Lett. 105 (3), 306�308."
argenton_potters_yang_2023,andreoni_2003,Andreoni (2003),"Andreoni, J., Harbaugh, W., Vesterlund, L., 2003. The carrot or the stick: Rewards, punishments, and cooperation. Am. Econ. Rev. 93 (3), 893�902."
argenton_potters_yang_2023,bardsley_2008,Bardsley (2008),"Bardsley, N., 2008. Dictator game giving: altruism or artifact? Exp. Econ. 11 (2), 122�133."
argenton_potters_yang_2023,bartling_2012,Bartling (2012),"Bartling, B., Fischbacher, U., 2012. Shifting the blame: On delegation and responsibility. Rev. Econom. Stud. 79 (1), 67�87."
argenton_potters_yang_2023,bartling_2015,Bartling (2015),"Bartling, B., Fischbacher, U., Schudy, S., 2015. Pivotality and responsibility attribution in sequential voting. J. Public Econ. 128, 133�139."
argenton_potters_yang_2023,bolton_2000,Bolton (2000),"Bolton, G.E., Ockenfels, A., 2000. ERC: A theory of equity, reciprocity, and competition. Amer. Econ. Rev. 90 (1), 166�193."
argenton_potters_yang_2023,charness_2000,Charness (2000),"Charness, G., 2000. Responsibility and effort in an experimental labor market. J. Econ. Behav. Organ. 42 (3), 375�384."
argenton_potters_yang_2023,charness_2004,Charness (2004),"Charness, G., 2004. Attribution and reciprocity in an experimental labor market. J. Labor Econ. 22 (3), 665�688."
argenton_potters_yang_2023,charness_2002,Charness (2002),"Charness, G., Rabin, M., 2002. Understanding social preferences with simple tests. Q. J. Econ. 117 (3), 817�869."
argenton_potters_yang_2023,choy_2016,Choy (2016),"Choy, A.K., Hamman, J.R., King, R.R., Weber, R.A., 2016. Delegated bargaining in a competitive agent market: an experimental study. J. Econ. Sci. Assoc. 2 (1),"
argenton_potters_yang_2023,coffman_2011,Coffman (2011),"Coffman, L.C., 2011. Intermediation reduces punishment (and reward). Am. Econ. J. Microecon. 3 (4), 77�106."
argenton_potters_yang_2023,croson_2009,Croson (2009),"Croson, R., Konow, J., 2009. Social preferences and moral biases. J. Econ. Behav. Organ. 69 (3), 201�212."
argenton_potters_yang_2023,drugov_2014,Drugov (2014),"Drugov, M., Hamman, J., Serra, D., 2014. Intermediaries in corruption: an experiment. Exp. Econ. 17 (1), 78�99."
argenton_potters_yang_2023,dufwenberg_2004,Dufwenberg (2004),"Dufwenberg, M., Kirchsteiger, G., 2004. A theory of sequential reciprocity. Games Econom. Behav. 47 (2), 268�298."
argenton_potters_yang_2023,eisenkopf_2015,Eisenkopf (2015),"Eisenkopf, G., Fischbacher, U., 2015. Na�ve responses to kind delegation. Manage. Decis. Econ. 36 (7), 487�498."
argenton_potters_yang_2023,engel_2011,Engel (2011),"Engel, C., 2011. Dictator games: A meta study. Exp. Econ. 14 (4), 583�610."
argenton_potters_yang_2023,erat_2013,Erat (2013),"Erat, S., 2013. Avoiding lying: The case of delegated deception. J. Econ. Behav. Organ. 93, 273�278."
argenton_potters_yang_2023,falk_2006,Falk (2006),"Falk, A., Fischbacher, U., 2006. A theory of reciprocity. Games Econom. Behav. 54 (2), 293�315."
argenton_potters_yang_2023,fehr_1999,Fehr (1999),"Fehr, E., Schmidt, K.M., 1999. A theory of fairness, competition, and cooperation. Q. J. Econ. 114 (3), 817�868."
argenton_potters_yang_2023,fershtman_2001,Fershtman (2001),"Fershtman, C., Gneezy, U., 2001. Strategic delegation: An experiment. Rand J. Econ. 32 (2), 352�368."
argenton_potters_yang_2023,garofalo_2018,Garofalo (2018),"Garofalo, O., Rott, C., 2018. Shifting blame? Experimental evidence of delegating communication. Manage. Sci. 64 (8), 3911�3925."
argenton_potters_yang_2023,gawn_2019,Gawn (2019a),"Gawn, G., Innes, R., 2019a. Lying through others: Does delegation promote deception? J. Econ. Psychol. 71, 59�73."
argenton_potters_yang_2023,gawn_2021,Gawn (2021),"Gawn, G., Innes, R., 2021. Machiavelli preferences without blame: Delegating selfish vs. Generous decisions in dictator games. J. Behav. Exp. Econ. 90, 101615."
